expert_id,scenario_id,assessment_low,assessment_mode,assessment_high,reliability,reliability_source,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.0,0.0,0.175874,0.578477,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,54388c2615b85453bd60def9be3964ee4b49902dcc07c3d9890ca7ebeaec0e30
EXP-01,ESC-02,0.0,0.07133,0.273875,0.430306,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1af2394a5e2907e137ad3ef0a91ddc25bf58311d2972f3c7d952fbe4d4ef9c50
EXP-01,ESC-03,0.0,0.0,0.182727,0.540406,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7a825a205b648833e08f1d3f7874dc21e335ac9f06b4c291ed840ade639093c5
EXP-01,ESC-04,0.0,0.053356,0.229144,0.578953,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b40478943044452e5ee5f34a0bee5f74ad84f6fc9695507411fc241e81089f76
EXP-01,ESC-05,0.094418,0.292981,0.491545,0.452426,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4c0446303fe7cb2f4922c2088db1bcb412385684bc9d8e9d7623edcfcbf8fe70
EXP-01,ESC-06,0.0,0.164137,0.35722,0.482873,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2ed1ed74ddeb52db3fabf58e92a68de49d30862328b9bc88c2c62b74515df95e
EXP-01,ESC-07,0.0,0.167431,0.362506,0.471809,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b2ee42b93171a40cd801c45d1d8a1ff5c97eb09623aeb9dbdcce70a50c4d4bc1
EXP-01,ESC-08,0.105007,0.289987,0.474968,0.527887,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6ef5c2f459cc0c57fc53fa286f4142702a9583312787b85e07ec36aea673aeaf
EXP-01,ESC-09,0.06154,0.237675,0.413809,0.577031,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1f1df82781e591b4b524e502de5eea986a980e40cf700a600537a4d11d7425fd
EXP-01,ESC-10,0.027011,0.220847,0.414684,0.478686,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6a83a3021d6166f373e6777e2b916fb2d53e4002b46c5a3cedfe608c95350cf1
EXP-01,ESC-11,0.056742,0.220706,0.384669,0.644649,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dafd61cd9d87030792d51c5dbd813bf6d71fa28ae7b9f89333dc65052771b1c6
EXP-01,ESC-12,0.347467,0.516831,0.686196,0.61464,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2ef26cf831b5aedb7df2c6de703694081c2ca32ee9972db145d0be3a412084f1
EXP-01,ESC-13,0.183187,0.374394,0.565602,0.49329,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,842779507daadc06e3d95bc19ff2fe7233cfd89810f496b3c2d7e6f3d1a01b7c
EXP-01,ESC-14,0.335657,0.50735,0.679044,0.601705,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4413f820e5a5866b2361165cfaf1e4a5646eab64149196d8a0bbc6bea7dcb31f
EXP-01,ESC-15,0.381342,0.552138,0.722934,0.60669,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e7b5238b9b3cb326594d004780b3b716089531acda3c03c151ccc02ee9c979a2
