project_id,claim_id,ground_truth_stage_index,ground_truth_escalation_severity,direct_dispute_evidence_present,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CLM-01,0,0.0231,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cbc0ccf8550cbad6ea48556a18a2707ef4d41789cad2ebc02e67e4c2b27a22df
PRJ-AIR,PRJ-AIR-CLM-02,1,0.208,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c75d5c8cda8f91c1ad6f7fb312bf4c9af8f04453bb820fd153c8b9f880d16335
PRJ-AIR,PRJ-AIR-CLM-03,2,0.3929,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,beee6c8df8fc98ff42be2fe46ece686cb3268bb852e972d4dd06905334ab8d4e
PRJ-AIR,PRJ-AIR-CLM-04,3,0.5778,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b482911a0db78ab51be8718b3368f25d34fa6ad3a0fc02b1dccaefa5419c6332
PRJ-AIR,PRJ-AIR-CLM-05,4,0.7627,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,706216dd40c02cd93f85b0dde30f92050e276f42f0085ea241546975ed3f588d
PRJ-AIR,PRJ-AIR-CLM-06,4,0.7726,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4f8a0a3f52e11c6cd57593f1f42e5456df57162e3ac449d71eef0b075d86acdd
PRJ-HWY,PRJ-HWY-CLM-01,0,0.02184,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f1085d1c46cf7a4153d2c8f04afa478b69ab32335093e5e0d600a4245c7bfb5e
PRJ-HWY,PRJ-HWY-CLM-02,0,0.0312,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4c0b0035f45ff8c7fb2a6f77bb25b1a419ccd25a2682f6750de1f147d144572c
PRJ-HWY,PRJ-HWY-CLM-03,1,0.21556,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4aae471de0bd8d3418b52306595723924b0e33271a29244793c744b3f71b6bf6
PRJ-HWY,PRJ-HWY-CLM-04,2,0.39992,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,56cd158faf5c7671251d2ee57aa997838844041f7a8c1733d39c0fecdedd94af
PRJ-HWY,PRJ-HWY-CLM-05,3,0.58428,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4f08afdf9a43daa434e63ffab8d1cffab1a8d4300151dc27ee129274764b1d49
PRJ-HWY,PRJ-HWY-CLM-06,4,0.76864,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7649938fa6208a7e1b6d9759ee2a28b53a4bf5622a8225794335bdbd785a83a6
PRJ-HSP,PRJ-HSP-CLM-01,0,0.02373,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e931a11e0c9c0735a364ec315cbb302fe782ac45ebb2ee7f2d09d2340ca1164a
PRJ-HSP,PRJ-HSP-CLM-02,1,0.2089,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c0aa8862b01bd082778966b59c09e974ee2457971237051ef199d7c85d014971
PRJ-HSP,PRJ-HSP-CLM-03,2,0.39407,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7a45a383744f13b4bb0d3bd0362952baea588b5ad1c0a72184ad5c0ffa4152ea
PRJ-HSP,PRJ-HSP-CLM-04,3,0.57924,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f431ca50e4ba376a646ed779586bfef33767386d8634792747d837e2b05958e5
PRJ-HSP,PRJ-HSP-CLM-05,4,0.76441,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2b83d4c08fb1c7597599ac87e195eda350e7907be31dd96978a7e376f4d728bf
PRJ-HSP,PRJ-HSP-CLM-06,4,0.77458,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c9f3770422a22978e64290d5b68f59e1ee1f98cc51405c754b5c6ad08d0d48d8
PRJ-WTR,PRJ-WTR-CLM-01,0,0.021,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7d626f79b9c92ffc91519df7cd7f73e41bc75a9c20577d06634ee9f4377251c0
PRJ-WTR,PRJ-WTR-CLM-02,0,0.03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,22e1cbdc996bf2fa5f5e9b94f3b4d033582fd339c3f0ed220ecb1d69e0549c5c
PRJ-WTR,PRJ-WTR-CLM-03,1,0.214,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,58b06cd0b10582244578f3e75f7534a76c7ddd98790f49f073475d10425d21bf
PRJ-WTR,PRJ-WTR-CLM-04,2,0.398,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0274612ae76a6b066298f5608e315907cf0972f9fc27b9d613dec7ebf0e8a9ea
PRJ-WTR,PRJ-WTR-CLM-05,3,0.582,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a2d1d6d555a122f490ba67717e9f9987713ece45867dfdf3fb9642052b2db686
PRJ-WTR,PRJ-WTR-CLM-06,4,0.766,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bad6f294647cddaa005e8b85db53dd37a547254e47408992356f3fd5e0b9b463
PRJ-RAL,PRJ-RAL-CLM-01,0,0.02268,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bb606a8ee5190698c56a38604e9cd54721ed6867b15fba2378c8cf4a4871ebe8
PRJ-RAL,PRJ-RAL-CLM-02,1,0.2074,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,70838866bbad707ea2b37ba5dddde196c805248371e33f83213615bb3fb166a8
