package_id,package_name,modules_served_count,modules_served,shared_data_structure,new_document_or_form_required,code_work_later_required,calibration_work_later_required,dependency_order,recommended_run,notes
PKG-ALTERNATIVES,"Alternatives, objectives and constraints package",9,B2.18 MARCOS Ranking; B2.19 CRITIC-TOPSIS; B4.1 Multi-Objective Optimization; B4.2 Linear Programming; B4.3 Constraint Satisfaction Analysis; B4.4 What-If Scenario Matrix; B4.5 Decision Sensitivity Matrix; B4.6 Pareto Frontier Analysis; B4.7 Regret Minimization Index,"Decision Alternatives Table and Objective and Constraint Set: actions, decision variables with bounds and units, objective coefficients and sense, constraint matrix and right-hand sides",Decision Alternatives Table and Objective and Constraint Set (new structured forms),an optimisation layer; a dominance relation; a payoff matrix over states of nature; a genuine multi-alternative ranking,"none intrinsic: an optimum is defined by the model, not by a band",1. alternatives table; 2. objectives and constraints; 3. ranking and dominance; 4. optimisation,Run 32,"ONE STRUCTURE UNBLOCKS THE WHOLE OF CATEGORY 10 PLUS TWO CATEGORY 7 MODULES. It is the highest module-per-structure ratio in the programme after the orphan-field package. The platform already collects courses of action from participants, which is the nearest existing thing to an alternatives table and should be examined before a new form is designed."
PKG-CAL-BANDS,Band calibration and empirical validation package,10,A1.1 Monte Carlo EAC; A2.5 Float Consumption Rate; A2.8 Look-Ahead Schedule Health; A2.9 Resource Loading Index; A4.2 RFI Velocity; A4.3 Submittal Rejection Rate; A4.5 Weather Day Impact; A4.9 Procurement Lead Time Monitor; C1.1 Missing Data Index; C1.5 Information Completeness Ratio,no new evidence structure: these modules already receive every input their canonical method needs,"none; but calibration itself requires the Labelled Document Corpus and an outcome corpus, which are PKG-DOCLABEL and PKG-REFCLASS",none: the arithmetic performs what the name says,"THE WHOLE PACKAGE. Band boundaries with an objective, a metric, an error target, a frozen selection, a holdout evaluation and a sensitivity analysis",after PKG-DOCLABEL and PKG-REFCLASS exist; nothing here can be calibrated before a calibration set does,Run 33,These are the modules where the honest answer is 'the method is right and the threshold is invented'. They need no new evidence about the project; they need a corpus to fit against.
PKG-CAT9,Category-9 qualification and lineage package,9,B1.2 Weighted Voting; B1.3 Majority Rules; B1.4 Worst-N-of-M; B3.1 ABM Governance Layer; C1.2 Data Timeliness Score; C1.3 Source Reliability Weighting; C1.4 Audit Trail Completeness; C1.6 Cross-document Consistency Score; C1.7 Reporting Frequency Index,"Qualified Signal State per signal, a declared dependence structure over signals, Field Provenance Record, Audit Object Graph, Reporting Cadence and Freshness Declaration, Source Reliability Record",Reporting Cadence and Freshness Declaration (new project data object); the rest is derived from data the platform already holds,"the qualification gate itself, which CANNOT BE BUILT UNDER THE CURRENT FREEZE: server/app/simulation/ is frozen at sim-2026.08-v2 under a byte-identical guard, and signal_package.py is where SIGNAL_QUALIFICATION and CATEGORY_9_DEVIATION live","none: qualification is a gate, not a threshold",1. field provenance; 2. qualification verdict object; 3. dependence declaration; 4. synthesis modules read qualified state,Run 31,THIS PACKAGE IS BLOCKED BY THE PLATFORM FREEZE AND RUN 27 RECORDS THAT RATHER THAN WORKING AROUND IT. Production's own disclosure is the finding: 205 of the 397 document-to-module edges land inside the four downstream categories that the gate would qualify.
PKG-CONTRACT,"Contract, procurement and quantity baseline package",4,A1.11 ICE Ratio; A3.2 Contingency Burn Rate; A3.3 Labor Productivity Index; A3.5 Overhead Absorption Rate,"Contract Baseline Data: schedule of values, approved rates and quantities, material baseline, contingency allocations and drawdowns, independent estimates",Contract Material Baseline and Current Procurement Report (new document types); Quantity Installed and Unit Rate Table and Contingency Drawdown Ledger (new structured forms); Independent Cost Estimate (new document type),a quantity and rate store; earned-output productivity; contingency drawdown against risk retirement; an independent-estimate comparison that is genuinely independent,"material variance control limits, which registry.py records as unsourced today",1. schedule of values and rates; 2. quantities; 3. contingency ledger; 4. independent estimate,Run 28,"This package is also the evidence design A3.4 Material Cost Variance was disabled pending. A3.4 is NOT one of the ninety-seven, because the scientific-audit population excludes it, but the package serves it and the owner's deferred retain-or-remove decision on it depends on this package."
PKG-DENOM,Document event denominator package,3,A4.4 NCR Rate; A4.6 Change Order Frequency; B3.5 Contract Modification Frequency,"Document Event Denominator: for every counted document event, the exposure window or exposure quantity it is counted against","none: report_period, work_period_from, work_period_to and items_inspected are already extracted fields; they are not joined to the counts",a join from counted events to their exposure; rate computation replacing raw counts,"rate thresholds, which are unsourced today for every module in the package",1. exposure join; 2. rate replacement; 3. thresholds,Run 29,
PKG-DOCEVENT,Document event evidence package,3,A4.7 Dispute Escalation Index; A4.8 Subcontractor Performance; A4.10 Specification Conflict Density,"Claim and Notice Register, Specification Conflict Register with evidence locations, Subcontractor Assessment Record","Claim and Notice Register (new document type, correspondence_notice is the natural carrier); Specification Conflict Register (new structured form)",claim-state ladder; conflict identification with retained evidence locations; assessment component storage,escalation ladder rungs and conflict density bands,1. claim register; 2. conflict register; 3. assessment components,Run 29,
PKG-DOCLABEL,Document risk label and validation package,1,A4.1 Document Risk Score,"Labelled Document Corpus with a frozen train, calibration and holdout split",Labelled Document Corpus (new project data object; requires qualified reviewers),a score construction record; precision and recall measurement against the holdout,this package IS the calibration and validation basis for the whole platform: the absence of a labelled corpus is the stated reason no module can be calibrated,1. reviewer protocol; 2. labelling; 3. split; 4. measurement,Run 29,"A4.1 Document Risk Score reaches at least twenty-eight registered modules on the authoritative edge list, so this package's fan-out is the largest in the programme."
PKG-DSM,DSM and system model package,2,A5.1 DSM Rework Propagation; A5.5 Rework Feedback Loop,DSM Dependency Matrix and Rework Stock and Flow Series,DSM Dependency Matrix (new structured form),propagation over the matrix; stock and flow integration with observed rates,rework probabilities and impacts per edge,1. element set; 2. dependency matrix; 3. propagation; 4. stocks and flows,Run 29,
PKG-ELICIT,Elicitation and evidence-parameter package,18,B2.1 Dempster-Shafer; B2.2 Rough Sets; B2.3 Neutrosophic Logic; B2.4 Interval Fuzzy Sets; B2.5 Z-numbers; B2.6 PLTS; B2.7 Plithogenic Sets; B2.8 Belief Rule Base; B2.9 Quantum Probability; B2.10 Pythagorean Fuzzy Sets; B2.11 Picture Fuzzy Sets; B2.12 Hesitant Fuzzy Sets; B2.13 Type-2 Fuzzy Sets; B2.14 Maximum Entropy; B2.15 Possibility Theory; B2.16 Spherical Fuzzy Sets; B2.17 Fermatean Fuzzy Sets; B2.20 Hypersoft Sets,"Elicited Assessment Set: expert id, object assessed, linguistic or interval assessment, protocol, date, agreed aggregation rule, agreement statistic",Expert Elicitation Form (new structured form),membership construction from elicited assessments rather than from hard-coded maps; an independence or dependence treatment for the combination rules,this package IS the calibration for the whole of Category 7,1. elicitation protocol; 2. assessment store; 3. membership construction; 4. per-method combination,Run 30,"Serves the largest number of modules of any package. It is also where the consolidation question is sharpest: the variants differ in their band boundaries, not in their evidence."
PKG-EXTERNAL,External official data package,2,A3.9 Inflation Adjustment Index; A6.4 Contractor Performance Score,External Price Index Record and Past Performance Information Record,"external official sources, not project documents",index lookup with vintage pinning; a past-performance accessor that cannot be confused with project-document ratings,"none: an index value is published, not chosen",1. source selection and licensing; 2. vintage pinning; 3. per-module use,Run 28,A6.4 in this package is scheduled with Run 31 because its category sits there; the shared external-data work is Run 28's.
