fault_id,guard,kind,target,intent,baseline_before,injection_confirmed,observed,baseline_after,restored_byte_for_byte,verdict
F1,server/tools/test_run22_production_tree_completeness.py,UNTRACKED_FILE,server/app/simulation/run28_closure_probe_file.py,a harmless UNTRACKED file created inside the protected production surface. The guard must report it as an unexpected file AND as an untracked production file. This is the blind spot Run 28 left open: git diff enumerates tracked paths and cannot see this at all,RESULT: 44/44 checks passed,"yes, re-read from disk",RED RESULT: 40/44 checks passed,RESULT: 44/44 checks passed,yes,PASS
F2,server/tools/test_run28_closure.py,EDIT,server/app/simulation/canonical_v3.py,A2.7's minimum-history guard weakened so ONE forecast is enough. A single baseline and a single forecast must not produce a trend or a direction,RESULT: 78/78 checks passed,"yes, re-read from disk",RED RESULT: 75/78 checks passed,RESULT: 78/78 checks passed,yes,PASS
F3,server/tools/test_run28_closure.py,EDIT,assets/js/taxonomy.js,the approved rename reverted on ONE current surface while the registry keeps the new name: exactly the mixed state the owner's instruction forbids,RESULT: 78/78 checks passed,"yes, re-read from disk",RED RESULT: 76/78 checks passed,RESULT: 78/78 checks passed,yes,PASS
F4,server/tools/test_run28_closure.py,EDIT,assets/js/categories.js,"the retired A1.1 name reintroduced in the DISPLAY TABLE of the registry the taxonomy is generated from, so active naming conflicts for A1.1 becomes one rather than zero. F11 is the same reversion in a sentence of PROSE, so both shapes are proved",RESULT: 78/78 checks passed,"yes, re-read from disk",RED RESULT: 76/78 checks passed,RESULT: 78/78 checks passed,yes,PASS
F5,server/tools/test_run28_closure.py,EDIT,server/app/project_data.py,"the supply path removed for the nineteen v3 structures: the intake stops accepting them, so the twenty abstentions lose the intake they rest on",RESULT: 78/78 checks passed,"yes, re-read from disk",RED RESULT: 72/78 checks passed,RESULT: 78/78 checks passed,yes,PASS
F6,server/tools/test_run28_closure.py,EDIT,server/app/simulation/canonical_v3.py,"A3.6's dependence policy made optional again, so a many-event model silently assumes independence and understates the upper tail it reports",RESULT: 78/78 checks passed,"yes, re-read from disk",RED RESULT: 76/78 checks passed,RESULT: 78/78 checks passed,yes,PASS
F7,server/tools/test_run28_closure.py,EDIT,server/app/simulation/canonical_v3.py,"a hidden default substituted for Q and R provenance, so an uncalibrated variance passes as a calibrated one",RESULT: 78/78 checks passed,"yes, re-read from disk",RED RESULT: 75/78 checks passed,RESULT: 78/78 checks passed,yes,PASS
F9,server/tools/test_run28_version_boundary.py,EDIT,server/app/simulation/models.py,"A DUPLICATE SIMULATION VERSION: the history is made to carry v11 twice, which is what an overwritten stamp looks like from the outside. Every identifier must be unique",RESULT: 15/15 checks passed,"yes, re-read from disk",RED RESULT: 12/15 checks passed,RESULT: 15/15 checks passed,yes,PASS
F10,server/tools/test_run28_version_boundary.py,EDIT,server/app/simulation/models.py,"the stamp rolled back to v11 while the layer's behaviour is v12's, so already-collected results would be indistinguishable from results computed under the old line",RESULT: 15/15 checks passed,"yes, re-read from disk",RED RESULT: 13/15 checks passed,RESULT: 15/15 checks passed,yes,PASS
F11,server/tools/test_run28_closure.py,EDIT,assets/js/knowledge.js,"the retired A1.1 name reintroduced in a sentence of prose on a current knowledge surface, which is the mixed state the owner's decision forbids",RESULT: 78/78 checks passed,"yes, re-read from disk",RED RESULT: 76/78 checks passed,RESULT: 78/78 checks passed,yes,PASS
F12,server/tools/test_run28_closure.py,EDIT,server/app/simulation/canonical_v3.py,AN ORPHAN STRUCTURE KEY: a twenty-fourth module-to-key entry added to production with no classified row in the reconciliation table,RESULT: 78/78 checks passed,"yes, re-read from disk",RED RESULT: 76/78 checks passed,RESULT: 78/78 checks passed,yes,PASS
F13,server/tools/test_run28_participant_v1_preservation.py,EDIT,code_audit/run12_participant_package_checksums.sha256,"the historical Run-12 participant record altered. The reconstruction reads the git object, so the working-tree record must still match it byte for byte",RESULT: 19/19 checks passed,"yes, re-read from disk",RED RESULT: 18/19 checks passed,RESULT: 19/19 checks passed,yes,PASS
F8,server/tools/test_schedule_milestones.py,EDIT,server/app/documents.py,"the real-corpus assembler admits a milestone with only one historical forecast, so a single baseline-and-current pair reaches the trend it cannot support",RESULT: 78/78 checks passed,"yes, re-read from disk",RED RESULT: 69/78 checks passed,RESULT: 78/78 checks passed,yes,PASS
